IP,Dự Án,Line,Station ID,Tên Trạm
10.239.203.53,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_SA-AOI-BWRAP_IN26A-01,SA-AOI-BWRAP
10.239.203.87,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AOI-BWRAP_IN26A-01,SA-AOI-BWRAP
10.239.203.115,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AOI-BATT-LASER_IN26A-01,SA-AOI-BATT-LASER
192.168.1.142,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-09,SMT-RF-CAL-CELL
10.239.198.22,4CS4,None,4CS4_FVN-E2F2SH-DJFQC01,None
10.239.223.174,4CS4,None,4CS4_FVN-E1F3-GO3FQC01,None
10.239.223.159,4CS4,None,4CS4_FVN-E1F3-G03GCOS203,None
10.239.199.21,4CS4,None,4CS4_FVN-E2F2SHC01FQC02,None
10.239.230.39,4CS4,None,4CS4_FVN-E2F2SH-RCAMFQC01,None
10.239.203.240,4CS4,None,4CS4_FVN-E2F3-C03CCOS202,None
10.239.222.156,4CS4,None,4CS4_FVN-E1F3-G03GCOS303,None
10.239.230.29,4CS4,None,4CS4_FVN-E2F2SH-FCAMFQC01,None
10.239.223.158,4CS4,None,4CS4_FVN-E1F3-G03GCOS202,None
10.239.223.169,4CS4,None,4CS4_FVN-E1F3-G03GCOS204,None
10.239.222.154,4CS4,None,4CS4_FVN-E1F3-G03GCOS301,None
10.239.199.15,4CS4,None,4CS4_FVN-E2F2SH-BATFQC01,None
10.239.204.252,4CS4,None,4CS4_FVN-E2F3-C03CCOS101,None
10.239.202.245,4CS4,None,4CS4_FVN-E2F3-B03BCOS102,None
10.239.198.31,4CS4,None,4CS4_FVN-E2F2SHB01FQC02,None
10.239.231.10,4CS4,None,4CS4_FVN-E2F2SHG01FQC01,None
10.239.230.16,4CS4,None,4CS4_FVN-E2F2SH-CJFQC01,None
10.239.198.26,4CS4,None,4CS4_FVN-E2F2SHC01FQC01,None
10.239.198.11,4CS4,None,4CS4_FVN-E2F2SHB01BCOS101,None
10.239.51.122,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-05,SMT-FLASH
10.239.230.44,4CS4,None,4CS4_FVN-E2F2SHC01CCOS101,None
10.239.231.25,4CS4,None,4CS4_FVN-E2F2SHG01GCOS101,None
10.239.223.168,4CS4,None,4CS4_FVN-E1F3-G03GCOS201,None
10.239.58.116,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-CAL-CELL_BJ26A-13,SMT-RF-CAL-CELL
10.239.58.72,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-CELL_BJ26A-08,SMT-RF-CELL
10.239.50.99,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-WIFIBT_BJ26A-01,SMT-RF-WIFIBT
10.239.203.46,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RUNIN-COMBO-04,FATP-RUNIN-COMBO-
10.239.51.54,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-01,SMT-FLASH
10.239.50.47,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-FLASH_WT26A-04,SMT-FLASH
10.239.58.194,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-05,SMT-FLASH
10.239.51.99,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-CAL-CELL_BJ26A-04,SMT-RF-CAL-CELL
10.239.51.16,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-02,SMT-RF-CAL-CELL
10.239.58.149,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-CAL-CELL_BJ26A-04,SMT-RF-CAL-CELL
10.239.58.193,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-06,SMT-FLASH
10.239.51.24,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-03,SMT-RF-CAL-CELL
10.239.58.191,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-07,SMT-FLASH
10.239.203.0,4CS4,None,4CS4_FVN-E2F3-B03BCOS101,None
10.239.50.88,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-CAL-CELL_BJ26A-05,SMT-RF-CAL-CELL
10.239.51.115,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-FLASH_WT26A-03,SMT-FLASH
10.239.51.103,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-FLASH_WT26A-02,SMT-FLASH
10.239.51.8,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-03,SMT-FLASH
10.239.203.237,4CS4,None,4CS4_FVN-E2F3-B03BCOS202,None
10.239.224.65,4CS4,None,4CS4_FVN-E1F3-G03GCOS102,None
10.239.222.155,4CS4,None,4CS4_FVN-E1F3-G03GCOS302,None
10.239.224.68,4CS4,None,4CS4_FVN-E1F3-G03GCOS101,None
10.239.231.12,4CS4,None,4CS4_FVN-E2F2SHG01FQC02,None
10.239.198.23,4CS4,None,4CS4_FVN-E2F2SHB01FQC01,None
10.239.222.152,4CS4,None,4CS4_FVN-E1F3-G03FQC03,None
10.239.199.12,4CS4,None,4CS4_FVN-E2F2SH-MMWFQC01,None
10.239.204.43,4CS4,None,4CS4_FVN-E2F3-C03CCOS102,None
10.239.202.155,4CS4,None,4CS4_FVN-E2F3-B03BCOS201,None
10.239.50.106,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-06,SMT-FLASH
10.239.203.35,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-QT-1M_SF26A-02,FATP-QT-1M
10.239.50.86,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-FLASH_WT26A-01,SMT-FLASH
10.239.51.142,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-CAL-CELL_BJ26A-09,SMT-RF-CAL-CELL
10.239.58.71,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-RF-WIFIBT_BJ26A-01,SMT-RF-WIFIBT
10.239.202.123,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RUNIN-COMBO-03,FATP-RUNIN-COMBO-
10.239.223.155,4CS4,None,4CS4_FVN-E1F3-G03FQC02,None
10.239.203.32,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-CAM-OIS_IN26A-02,FATP-CAM-OIS
10.239.203.63,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-CAM-OIS_IN26A-02,FATP-CAM-OIS
10.239.50.105,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-04,SMT-FLASH
10.239.58.198,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-01,SMT-FLASH
10.239.203.2,4CS4,None,4CS4_FVN-E2F3-C03CCOS201,None
10.239.50.104,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-FLASH_WT26A-02,SMT-FLASH
10.239.51.100,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-RF-CAL-CELL_BJ26A-10,SMT-RF-CAL-CELL
10.239.50.98,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-CAL-CELL_BJ26A-01,SMT-RF-CAL-CELL
10.239.50.96,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-RF-WIFIBT_BJ26A-03,SMT-RF-WIFIBT
